file,mean H,mean S,mean V,pleasure,arousal,dominance,c_H_1,c_H_2,c_H_3,c_S_1,c_S_2,c_S_3,c_V_1,c_V_2,c_V_3,Sum_H,Sum_S,Sum_V
abstract_0001.jpg,127.295478,125.701367,123.955836,113.183828,36.994511,134.430873,781.587500,1.683333,121.072917,773.768750,2.406250,117.571875,764.543750,2.585417,115.655208,904.343750,893.746875,882.784375
abstract_0002.jpg,122.741796,122.544905,123.111399,111.906744,35.362409,132.779033,1021.372449,1.250000,-21.385739,1015.933673,0.467687,-18.739691,1017.000000,0.306122,-17.319588,1001.236710,997.661670,999.986535
abstract_0003.jpg,84.563013,84.529456,83.656227,76.319277,24.784243,90.628158,733.218750,-2.483631,-26.887649,729.964286,-2.880952,-26.633929,707.647321,-0.760417,-17.670387,703.847470,700.449405,689.216518
abstract_0004.jpg,111.244048,111.498512,111.264881,101.302440,32.406994,120.240833,959.205357,-1.619048,-34.593750,962.165179,-1.700893,-34.810268,962.517857,-1.446429,-36.568452,922.992560,925.654018,924.502976
abstract_0005.jpg,82.619792,82.473214,82.548363,75.102478,23.893936,89.128185,801.160714,-0.020833,-70.354167,800.477679,-0.123512,-70.404018,801.017857,-0.205357,-70.404762,730.785714,729.950149,730.407738
abstract_0006.jpg,148.179325,147.968882,148.184599,134.800527,42.844103,159.970338,1307.126582,0.504219,-61.196203,1300.028481,0.456751,-58.359177,1294.240506,0.622363,-54.535865,1246.434599,1242.126055,1240.327004
abstract_0007.jpg,103.034913,102.887781,103.565254,94.095337,29.627440,111.633682,807.965686,1.629085,6.573432,803.730392,2.109477,6.989274,807.142157,2.204248,8.144389,816.168204,812.829143,817.490795
abstract_0008.jpg,107.837398,105.167683,105.262195,95.767805,30.469329,113.652927,898.420732,0.335366,-17.822154,880.457317,0.920732,-19.238821,882.109756,0.796748,-20.164634,880.933943,862.139228,862.741870
abstract_0009.jpg,122.066456,121.650316,120.368671,109.817453,35.675902,130.408291,1087.338608,-3.545359,-55.387658,1079.294304,-3.397679,-52.747363,1066.180380,-3.874473,-52.129219,1028.405591,1023.149262,1010.176688
abstract_0010.jpg,141.176132,140.983539,140.746502,128.131465,40.958708,152.082074,1240.333333,-0.313725,-55.326797,1238.759804,-0.250000,-55.280229,1236.647059,-0.006536,-55.225490,1184.692810,1183.229575,1181.415033
abstract_0011.jpg,113.855433,114.644567,114.815838,104.444733,33.193831,123.946298,873.538043,-0.012681,18.125458,876.798913,0.056159,19.971612,876.358696,0.329710,20.613553,891.650820,896.826684,897.301959
abstract_0012.jpg,126.439560,126.506716,126.418803,115.060452,36.714200,136.560440,1104.532609,0.474638,-45.507908,1102.750000,-0.078502,-45.662409,1101.413043,0.797101,-45.274939,1059.499339,1057.009089,1056.935206
abstract_0013.jpg,127.657040,127.314079,125.929001,114.900108,37.350457,136.446546,899.671429,0.754762,61.908873,892.757143,-0.319048,62.952038,882.203571,-1.613095,62.267986,962.335063,955.390134,942.858462
abstract_0014.jpg,111.164875,111.031362,111.641577,101.459588,32.009928,120.377634,979.718085,5.150709,-47.298387,980.212766,4.138298,-47.338710,984.260638,5.140071,-46.285842,937.570407,937.012354,943.114867
abstract_0015.jpg,115.832461,114.579407,109.474695,100.745009,34.810489,119.866178,1185.546875,3.689236,-129.900174,1164.895833,1.954861,-122.763889,1113.098958,-1.873264,-119.495660,1059.335938,1044.086806,991.730035
abstract_0016.jpg,92.512114,92.989975,94.062657,85.361028,26.634561,101.244411,701.420000,0.540000,20.410000,702.755000,0.581667,20.827500,707.630000,-0.233333,22.831667,722.370000,724.164167,730.228333
abstract_0018.jpg,114.110365,113.896346,114.777778,104.253863,32.756696,123.677942,938.781250,-1.084821,-12.829613,941.517857,-0.928571,-16.059524,944.098214,-1.589286,-14.278274,924.866815,924.529762,928.230655
abstract_0019.jpg,88.494021,88.746637,88.822870,80.812040,25.712892,95.904305,905.450893,0.197917,-98.920387,908.691964,0.263393,-99.573661,910.553571,0.315476,-100.205357,806.728423,809.381696,810.663690
abstract_0020.jpg,147.268333,147.260833,147.198333,133.964233,42.725017,158.994200,1284.020000,-0.500000,-52.813333,1282.650000,-0.963333,-52.101667,1281.945000,-0.831667,-52.160833,1230.706667,1229.585000,1228.952500
abstract_0021.jpg,110.152871,110.300522,110.561521,100.553565,31.906242,119.322923,1042.888393,0.046131,-80.725446,1045.120536,0.477679,-81.270089,1047.919643,0.300595,-81.703869,962.209077,964.328125,966.516369
abstract_0022.jpg,174.828648,174.943775,177.325301,160.842088,49.995422,190.749237,1409.890625,-0.572917,-3.939153,1412.656250,0.125000,-4.380952,1421.710938,0.341146,1.736772,1405.378555,1408.400298,1423.788856
abstract_0023.jpg,95.834828,95.852018,95.934230,87.282063,27.771599,103.582661,963.473214,0.151786,-98.430060,963.602679,0.028274,-98.472470,963.964286,-0.139881,-98.300595,865.194940,865.158482,865.523810
abstract_0025.jpg,92.622271,94.529112,94.520378,86.015466,27.416150,102.084803,988.564655,0.550287,-122.697826,1011.668103,-0.265805,-126.622464,1002.745690,0.214080,-124.386232,866.417116,884.779835,878.573538
abstract_0026.jpg,111.774150,110.453741,109.810204,100.068864,32.231082,118.800952,1074.104839,-3.034946,-91.734417,1048.342742,-2.845430,-84.466802,1036.750000,-1.698925,-81.200542,979.335475,961.030510,953.850533
abstract_0027.jpg,69.098333,64.614167,67.715833,60.939042,17.776592,72.140567,537.800000,-0.973333,8.526667,603.520000,-0.656667,-43.636667,639.945000,0.415000,-49.330833,545.353333,559.226667,591.029167
abstract_0028.jpg,73.254296,72.420103,75.411512,67.966366,20.074493,80.487182,640.367347,3.098639,-27.947595,636.530612,2.625850,-29.452749,657.015306,2.886054,-25.744845,615.518392,609.703713,634.156515
abstract_0029.jpg,111.270270,110.400901,108.611486,99.230124,32.570980,117.873018,1071.081081,0.333333,-89.036036,1063.554054,3.117117,-89.281532,1047.439189,3.209459,-88.347973,982.378378,977.389640,962.300676
abstract_0030.jpg,119.433412,119.522459,119.756501,108.926927,34.588960,129.262128,1005.617925,0.570755,-25.222484,1006.330189,0.556604,-25.325472,1008.334906,0.611635,-25.436321,980.966195,981.561321,983.510220
