Word,Method,Pos,Count
never,upos,ADV,16
never,xpos,RB,16
see,upos,VERB,5
see,xpos,VBN,5
a,upos,DET,8
a,xpos,DT,8
sun,upos,NOUN,1
sun,xpos,NN,1
shine,upos,VERB,1
shine,xpos,VB,1
like,upos,ADP,6
like,xpos,IN,6
this,upos,PRON,6
this,xpos,DT,6
the,upos,DET,6
the,xpos,DT,6
moon,upos,NOUN,1
moon,xpos,NN,1
glow,upos,NOUN,1
glow,xpos,NN,1
waterfall,upos,NOUN,1
waterfall,xpos,NNS,1
light,upos,NOUN,1
light,xpos,NNS,1
off,upos,ADP,1
off,xpos,RP,1
dug,upos,VERB,1
dug,xpos,VBD,1
anyone,upos,PRON,1
anyone,xpos,NN,1
have,upos,VERB,7
have,upos,AUX,1
have,xpos,VBD,6
have,xpos,VB,1
have,xpos,VBP,1
tasty,upos,ADJ,1
tasty,xpos,JJ,1
lip,upos,NOUN,1
lip,xpos,NNS,1
to,upos,PART,6
to,upos,ADP,1
to,xpos,TO,6
to,xpos,IN,1
kiss,upos,VERB,1
kiss,xpos,VB,1
someone,upos,PRON,1
someone,xpos,NN,1
miss,upos,VERB,1
miss,xpos,VB,1
write,upos,VERB,1
write,xpos,VBD,1
song,upos,NOUN,2
song,xpos,NN,2
quite,upos,ADV,1
quite,xpos,RB,1
fortunate,upos,ADJ,1
fortunate,xpos,JJ,1
you,upos,PRON,5
you,xpos,PRP$,2
you,xpos,PRP,3
girl,upos,NOUN,1
girl,xpos,NN,1
I,upos,PRON,6
I,xpos,PRP,6
be,upos,AUX,3
be,xpos,VBP,2
be,xpos,VBZ,1
so,upos,ADV,4
so,xpos,RB,4
glad,upos,ADJ,1
glad,xpos,JJ,1
your,upos,PRON,1
your,xpos,PRP,1
in,upos,ADP,1
in,xpos,IN,1
my,upos,PRON,2
my,xpos,PRP$,2
world,upos,NOUN,1
world,xpos,NN,1
just,upos,ADV,2
just,xpos,RB,2
as,upos,ADV,1
as,upos,SCONJ,1
as,xpos,RB,1
as,xpos,IN,1
sure,upos,ADJ,1
sure,xpos,JJ,1
sky,upos,NOUN,1
sky,xpos,NN,1
blue,upos,ADJ,1
blue,xpos,JJ,1
bless,upos,VERB,1
bless,xpos,VBP,1
day,upos,NOUN,1
day,xpos,NN,1
that,upos,PRON,1
that,xpos,WDT,1
find,upos,VERB,1
find,xpos,VBD,1
room,upos,NOUN,1
room,xpos,NN,1
service,upos,NOUN,1
service,xpos,NN,1
all,upos,DET,2
all,xpos,DT,1
all,xpos,PDT,1
night,upos,NOUN,1
night,xpos,NN,1
take,upos,VERB,1
take,xpos,VBD,1
trip,upos,NOUN,1
trip,xpos,NN,1
first,upos,ADJ,1
first,xpos,JJ,1
class,upos,NOUN,1
class,xpos,NN,1
flight,upos,NOUN,1
flight,xpos,NN,1
love,upos,NOUN,1
love,xpos,NN,1
affair,upos,NOUN,1
affair,xpos,NN,1
tight,upos,ADJ,1
tight,xpos,JJ,1
feel,upos,VERB,1
feel,xpos,VBN,1
feeling,upos,NOUN,1
feeling,xpos,NN,1
right,upos,ADV,1
right,xpos,RB,1
winter,upos,NOUN,1
winter,xpos,NN,1
white,upos,ADJ,1
white,xpos,JJ,1
word,upos,NOUN,1
word,xpos,NNS,1
recite,upos,VERB,1
recite,xpos,VB,1
flame,upos,NOUN,1
flame,xpos,NN,1
ignite,upos,VERB,1
ignite,xpos,VB,1
and,upos,CCONJ,1
and,xpos,CC,1
sang,upos,VERB,1
sang,xpos,VBD,1
with,upos,ADP,1
with,xpos,IN,1
might,upos,NOUN,1
might,xpos,NN,1
silence,upos,NOUN,1
silence,xpos,NN,1
child,upos,NOUN,1
child,xpos,NN,1
hope,upos,VERB,1
hope,xpos,VBP,1
hear,upos,VERB,1
hear,xpos,VBP,1
callin,upos,VERB,1
callin,xpos,VBG,1
out,upos,ADP,1
out,xpos,IN,1
body,upos,NOUN,1
body,xpos,NN,1
baby,upos,NOUN,1
baby,xpos,NN,1
know,upos,VERB,1
know,xpos,VBP,1
what,upos,PRON,1
what,xpos,WP,1
do,upos,VERB,1
do,xpos,VB,1
close,upos,VERB,1
close,xpos,VB,1
door,upos,NOUN,1
door,xpos,NN,1
no,upos,DET,1
no,xpos,DT,1
interlude,upos,NOUN,1
interlude,xpos,NN,1
