Word,Method,Pos,Count
Capone,upos,PROPN,3
Capone,xpos,NNP,3
oh,upos,INTJ,32
oh,xpos,UH,32
it,upos,PRON,7
it,xpos,PRP,7
be,upos,AUX,15
be,xpos,VBZ,3
be,xpos,VBP,12
ya,upos,PRON,3
ya,xpos,PRP$,1
ya,xpos,PRP,2
boy,upos,NOUN,1
boy,xpos,NN,1
Bigg,upos,PROPN,2
Bigg,xpos,NNP,2
Snoop,upos,PROPN,4
Snoop,xpos,NNP,4
Dogg,upos,PROPN,5
Dogg,xpos,NNP,5
that,upos,PRON,2
that,upos,DET,2
that,xpos,DT,4
right,upos,ADJ,1
right,upos,ADV,1
right,xpos,JJ,1
right,xpos,RB,1
I,upos,PRON,35
I,xpos,PRP,35
tryin,upos,VERB,2
tryin,upos,NOUN,1
tryin,xpos,VBG,1
tryin,xpos,NN,1
tryin,xpos,VB,1
to,upos,PART,5
to,upos,ADP,9
to,xpos,TO,5
to,xpos,IN,9
find,upos,VERB,1
find,xpos,VB,1
one,upos,NUM,2
one,upos,NOUN,2
one,xpos,CD,2
one,xpos,NN,2
now,upos,ADV,1
now,xpos,RB,1
Ooohwee,upos,PROPN,1
Ooohwee,xpos,NNP,1
little,upos,ADJ,2
little,xpos,JJ,2
hot,upos,ADJ,2
hot,xpos,JJ,2
yeah,upos,INTJ,1
yeah,xpos,UH,1
know,upos,VERB,3
know,xpos,VBP,3
what,upos,PRON,7
what,xpos,WP,7
mean,upos,VERB,1
mean,xpos,VBP,1
ohoh,upos,PUNCT,2
ohoh,upos,INTJ,8
ohoh,xpos,.,2
ohoh,xpos,UH,8
like,upos,ADP,3
like,upos,SCONJ,2
like,xpos,IN,5
fire,upos,NOUN,11
fire,xpos,NN,11
Chorus,upos,PROPN,3
Chorus,xpos,NNP,3
Fingazz,upos,PROPN,1
Fingazz,xpos,NNP,1
you,upos,PRON,24
you,xpos,PRP,21
you,xpos,PRP$,3
my,upos,PRON,17
my,xpos,PRP$,17
take,upos,VERB,8
take,xpos,VBP,7
take,xpos,VB,1
higher,upos,ADJ,7
higher,xpos,JJR,7
and,upos,CCONJ,8
and,xpos,CC,8
can,upos,AUX,2
can,xpos,MD,2
not,upos,PART,2
not,xpos,RB,2
deny,upos,VERB,2
deny,xpos,VB,2
cause,upos,SCONJ,1
cause,xpos,IN,1
make,upos,VERB,1
make,xpos,VBG,1
everything,upos,PRON,1
everything,xpos,NN,1
