Word,Method,Pos,Count
she,upos,PRON,21
she,upos,AUX,2
she,upos,VERB,2
she,xpos,PRP,21
she,xpos,VBZ,4
use,upos,VERB,3
use,xpos,VBD,3
to,upos,PART,3
to,upos,ADP,3
to,xpos,TO,3
to,xpos,IN,3
be,upos,VERB,6
be,upos,AUX,14
be,xpos,VB,3
be,xpos,VBD,15
be,xpos,VBZ,2
everything,upos,PRON,4
everything,xpos,NN,4
I,upos,PRON,9
I,xpos,PRP,9
when,upos,ADV,12
when,xpos,WRB,12
my,upos,PRON,18
my,xpos,PRP$,18
girl,upos,NOUN,17
girl,xpos,NN,17
hold,upos,VERB,1
hold,xpos,VBD,1
Near,upos,PROPN,1
Near,xpos,NNP,1
tell,upos,VERB,2
tell,xpos,VBD,1
tell,xpos,VB,1
how,upos,ADV,2
how,xpos,WRB,2
much,upos,ADJ,1
much,xpos,JJ,1
care,upos,VERB,1
care,xpos,VBD,1
there,upos,PRON,2
there,xpos,EX,2
Laughter,upos,PROPN,2
Laughter,xpos,NNP,2
and,upos,CCONJ,3
and,xpos,CC,3
loving,upos,ADJ,2
loving,xpos,JJ,2
in,upos,ADP,2
in,xpos,IN,2
world,upos,NOUN,2
world,xpos,NN,2
everyday,upos,NOUN,1
everyday,xpos,NN,1
oh,upos,INTJ,2
oh,xpos,UH,2
what,upos,DET,2
what,xpos,WDT,2
Joy,upos,NOUN,2
Joy,xpos,NN,2
would,upos,AUX,3
would,xpos,MD,3
bring,upos,VERB,2
bring,xpos,VB,2
now,upos,ADV,2
now,xpos,RB,2
have,upos,AUX,2
have,xpos,VBP,2
lose,upos,VERB,2
lose,xpos,VBN,2
go,upos,VERB,7
go,xpos,VBN,7
spend,upos,VERB,1
spend,xpos,VBP,1
the,upos,DET,2
the,xpos,DT,2
night,upos,NOUN,1
night,xpos,NN,1
dream,upos,VERB,1
dream,xpos,VBG,1
yes,upos,INTJ,1
yes,xpos,UH,1
it,upos,PRON,1
it,xpos,PRP,1
cause,upos,SCONJ,1
cause,xpos,IN,1
big,upos,ADJ,1
big,xpos,JJ,1
legged,upos,ADJ,1
legged,xpos,JJ,1
so,upos,ADV,1
so,xpos,RB,1
Foxy,upos,PROPN,1
Foxy,xpos,NNP,1
cant,upos,AUX,1
cant,xpos,MD,1
you,upos,PRON,1
you,xpos,PRP,1
see,upos,VERB,1
see,xpos,VB,1
this,upos,DET,1
this,upos,PRON,1
this,xpos,DT,2
belong,upos,VERB,1
belong,xpos,VBZ,1
we,upos,PRON,2
we,xpos,PRP,2
walk,upos,VERB,1
walk,xpos,VBP,1
down,upos,ADV,1
down,xpos,RB,1
Street,upos,PROPN,1
Street,xpos,NNP,1
everyone,upos,PRON,1
everyone,xpos,NN,1
meet,upos,VERB,1
meet,xpos,VBP,1
