Word,Method,Pos,Count
pretty,upos,ADV,23
pretty,xpos,RB,23
little,upos,ADJ,17
little,xpos,JJ,17
angel,upos,NOUN,24
angel,xpos,NN,24
eye,upos,NOUN,18
eye,xpos,NNS,18
I,upos,PRON,12
I,xpos,PRP,12
really,upos,ADV,4
really,xpos,RB,4
love,upos,VERB,7
love,upos,NOUN,2
love,xpos,VBP,7
love,xpos,NN,2
you,upos,PRON,15
you,xpos,PRP,13
you,xpos,PRP$,2
so,upos,ADV,5
so,xpos,RB,5
Ill,upos,ADJ,3
Ill,xpos,JJ,3
never,upos,ADV,3
never,xpos,RB,3
let,upos,VERB,3
let,xpos,VB,3
go,upos,VERB,3
go,xpos,VB,3
because,upos,SCONJ,3
because,xpos,IN,3
my,upos,PRON,5
my,xpos,PRP$,5
darling,upos,NOUN,4
darling,xpos,NN,4
be,upos,AUX,5
be,xpos,VBP,2
be,xpos,VBD,1
be,xpos,VB,1
be,xpos,VBZ,1
good,upos,ADJ,1
good,xpos,JJ,1
to,upos,ADP,1
to,upos,PART,1
to,xpos,IN,1
to,xpos,TO,1
and,upos,CCONJ,1
and,xpos,CC,1
when,upos,ADV,1
when,xpos,WRB,1
in,upos,ADP,1
in,xpos,IN,1
arm,upos,NOUN,1
arm,xpos,NNS,1
it,upos,PRON,1
it,xpos,PRP,1
feel,upos,VERB,1
feel,xpos,VBZ,1
heavenly,upos,ADJ,1
heavenly,xpos,JJ,1
know,upos,VERB,3
know,xpos,VBP,3
send,upos,VERB,1
send,xpos,VBN,1
from,upos,ADP,1
from,xpos,IN,1
heaven,upos,NOUN,1
heaven,xpos,NN,1
above,upos,ADV,1
above,xpos,RB,1
fill,upos,VERB,1
fill,xpos,VB,1
life,upos,NOUN,1
life,xpos,NN,1
with,upos,ADP,1
with,xpos,IN,1
wonderful,upos,ADJ,1
wonderful,xpos,JJ,1
well,upos,ADV,1
well,xpos,RB,1
happy,upos,ADJ,1
happy,xpos,JJ,1
for,upos,ADP,1
for,xpos,IN,1
eternity,upos,NOUN,1
eternity,xpos,NN,1
cause,upos,SCONJ,1
cause,xpos,IN,1
knowo,upos,ADV,1
knowo,xpos,RB,1
will,upos,AUX,2
will,xpos,MD,2
wowow,upos,PROPN,1
wowow,xpos,NNP,1
that,upos,SCONJ,1
that,xpos,IN,1
we,upos,PRON,1
we,xpos,PRP$,1
real,upos,ADJ,1
real,xpos,JJ,1
