Word,Method,Pos,Count
it,upos,PRON,7
it,xpos,PRP,7
be,upos,AUX,9
be,upos,VERB,4
be,xpos,VBZ,10
be,xpos,VBP,3
a,upos,DET,10
a,xpos,DT,10
lazy,upos,ADJ,9
lazy,xpos,JJ,9
afternoon,upos,NOUN,9
afternoon,xpos,NN,9
and,upos,CCONJ,11
and,xpos,CC,11
the,upos,DET,6
the,xpos,DT,6
beetle,upos,NOUN,1
beetle,xpos,NN,1
bug,upos,NOUN,1
bug,xpos,NNS,1
zoom,upos,VERB,1
zoom,xpos,VBG,1
tulip,upos,NOUN,1
tulip,xpos,NN,1
tree,upos,NOUN,1
tree,xpos,NNS,1
bloom,upos,VERB,1
bloom,xpos,VBG,1
there,upos,PRON,4
there,xpos,EX,4
not,upos,PART,1
not,xpos,RB,1
another,upos,DET,1
another,xpos,DT,1
human,upos,NOUN,1
human,xpos,NN,1
in,upos,ADP,2
in,xpos,IN,2
view,upos,NOUN,1
view,xpos,NN,1
but,upos,CCONJ,1
but,xpos,CC,1
we,upos,PRON,2
we,xpos,PRP,2
two,upos,NUM,1
two,xpos,CD,1
farmer,upos,NOUN,1
farmer,xpos,NN,1
leave,upos,VERB,1
leave,xpos,VBZ,1
he,upos,PRON,1
he,xpos,PRP$,1
reap,upos,NOUN,1
reap,xpos,NN,1
meadow,upos,NOUN,1
meadow,xpos,NN,1
cow,upos,NOUN,1
cow,xpos,NNS,1
sleep,upos,VERB,1
sleep,xpos,VBG,1
speckle,upos,VERB,1
speckle,xpos,VBN,1
trout,upos,NOUN,1
trout,xpos,NNS,1
stop,upos,VERB,1
stop,xpos,VBP,1
leap,upos,VERB,1
leap,xpos,VBG,1
upstream,upos,ADV,1
upstream,xpos,RB,1
as,upos,SCONJ,2
as,xpos,IN,2
dream,upos,VERB,1
dream,xpos,VBP,1
far,upos,ADV,1
far,xpos,RB,1
pink,upos,ADJ,1
pink,xpos,JJ,1
cloud,upos,NOUN,1
cloud,xpos,NN,1
hang,upos,VERB,1
hang,xpos,VBZ,1
over,upos,ADP,1
over,xpos,IN,1
hill,upos,NOUN,1
hill,xpos,NN,1
unfold,upos,VERB,1
unfold,xpos,VBG,1
like,upos,ADP,2
like,xpos,IN,2
rose,upos,NOUN,1
rose,xpos,NN,1
if,upos,SCONJ,1
if,xpos,IN,1
you,upos,PRON,3
you,xpos,PRP,3
hold,upos,VERB,2
hold,xpos,VBP,1
hold,xpos,VB,1
my,upos,PRON,2
my,xpos,PRP$,2
hand,upos,NOUN,2
hand,xpos,NN,2
sit,upos,VERB,1
sit,xpos,VBP,1
real,upos,ADJ,1
real,xpos,JJ,1
still,upos,ADV,1
still,xpos,RB,1
can,upos,AUX,1
can,xpos,MD,1
hear,upos,VERB,1
hear,xpos,VB,1
grass,upos,NOUN,1
grass,xpos,NN,1
grow,upos,VERB,1
grow,xpos,VBZ,1
hazy,upos,ADJ,2
hazy,xpos,JJ,2
I,upos,PRON,7
I,xpos,PRP,7
know,upos,VERB,2
know,xpos,VBP,2
place,upos,NOUN,2
place,xpos,NN,2
that,upos,PRON,2
that,xpos,WDT,2
quiet,upos,ADJ,2
quiet,xpos,JJ,2
except,upos,ADP,2
except,xpos,IN,2
for,upos,ADP,2
for,xpos,IN,2
daisy,upos,NOUN,2
daisy,xpos,NNS,2
run,upos,VERB,2
run,xpos,VBG,2
riot,upos,NOUN,2
riot,xpos,NN,2
no,upos,DET,2
no,xpos,DT,2
one,upos,NOUN,2
one,xpos,NN,2
pass,upos,VERB,2
pass,xpos,VBG,2
by,upos,ADP,2
by,xpos,IN,2
to,upos,PART,2
to,xpos,TO,2
see,upos,VERB,2
see,xpos,VB,2
come,upos,VERB,3
come,xpos,VB,3
spend,upos,VERB,3
spend,xpos,VB,3
this,upos,DET,3
this,xpos,DT,3
with,upos,ADP,4
with,xpos,IN,4
nothing,upos,PRON,1
nothing,xpos,NN,1
let,upos,NOUN,1
let,xpos,NNS,1
go,upos,VERB,1
go,xpos,VB,1
deep,upos,ADV,1
deep,xpos,RB,1
into,upos,ADP,1
into,xpos,IN,1
