Word,Method,Pos,Count
love,upos,NOUN,12
love,upos,VERB,1
love,xpos,NN,12
love,xpos,VB,1
be,upos,AUX,18
be,xpos,VBZ,13
be,xpos,VBP,4
be,xpos,VBD,1
tragic,upos,ADJ,1
tragic,xpos,JJ,1
bold,upos,ADJ,1
bold,xpos,JJ,1
you,upos,PRON,11
you,xpos,PRP,11
will,upos,AUX,2
will,xpos,MD,2
always,upos,ADV,1
always,xpos,RB,1
do,upos,VERB,1
do,upos,AUX,1
do,xpos,VB,1
do,xpos,VBP,1
what,upos,PRON,1
what,xpos,WP,1
tell,upos,VERB,1
tell,xpos,VBN,1
hard,upos,ADJ,1
hard,xpos,JJ,1
strong,upos,ADJ,1
strong,xpos,JJ,1
never,upos,ADV,2
never,xpos,RB,2
say,upos,VERB,2
say,xpos,VB,1
say,xpos,VBG,1
that,upos,SCONJ,1
that,upos,PRON,3
that,xpos,IN,1
that,xpos,WDT,3
wrong,upos,ADJ,1
wrong,xpos,JJ,1
I,upos,PRON,19
I,xpos,PRP,19
not,upos,PART,5
not,xpos,RB,5
know,upos,VERB,1
know,xpos,VB,1
when,upos,ADV,4
when,xpos,WRB,4
get,upos,VERB,5
get,xpos,VBD,4
get,xpos,VB,1
bitter,upos,ADJ,1
bitter,xpos,JJ,1
but,upos,CCONJ,1
but,xpos,CC,1
surely,upos,ADV,1
surely,xpos,RB,1
better,upos,ADJ,1
better,xpos,JJR,1
it,upos,PRON,1
it,xpos,PRP,1
go,upos,VERB,1
go,xpos,VBN,1
cause,upos,SCONJ,1
cause,xpos,IN,1
want,upos,VERB,4
want,xpos,VBD,4
more,upos,ADJ,12
more,xpos,JJR,12
than,upos,SCONJ,8
than,xpos,IN,8
could,upos,AUX,8
could,xpos,MD,8
give,upos,VERB,2
give,xpos,VB,2
handle,upos,VERB,2
handle,xpos,VB,2
in,upos,ADP,2
in,xpos,IN,2
a,upos,DET,4
a,xpos,DT,4
life,upos,NOUN,2
life,xpos,NN,2
can,upos,AUX,2
can,xpos,MD,2
live,upos,VERB,2
live,xpos,VB,2
bear,upos,VERB,1
bear,xpos,VB,1
offer,upos,VERB,2
offer,xpos,VB,2
for,upos,ADP,1
for,xpos,IN,1
there,upos,ADV,1
there,xpos,RB,1
color,upos,NOUN,1
color,xpos,NN,1
loud,upos,ADJ,1
loud,xpos,JJ,1
too,upos,ADV,1
too,xpos,RB,1
proud,upos,ADJ,1
proud,xpos,JJ,1
trust,upos,VERB,1
trust,xpos,VBG,1
honest,upos,ADJ,1
honest,xpos,JJ,1
hand,upos,NOUN,1
hand,xpos,NN,1
to,upos,PART,4
to,xpos,TO,4
hold,upos,VERB,1
hold,xpos,VB,1
dow,upos,PROPN,3
dow,xpos,NNP,3
and,upos,PROPN,3
and,xpos,NNP,3
pick,upos,VERB,2
pick,xpos,VB,2
up,upos,ADP,2
up,xpos,RP,2
my,upos,PRON,1
my,xpos,PRP$,1
foot,upos,NOUN,1
foot,xpos,NNS,1
back,upos,ADV,1
back,xpos,RB,1
on,upos,ADP,1
on,xpos,IN,1
the,upos,DET,2
the,xpos,DT,2
ground,upos,NOUN,1
ground,xpos,NN,1
harder,upos,ADJ,1
harder,xpos,JJR,1
would,upos,AUX,1
would,xpos,MD,1
shove,upos,VERB,1
shove,xpos,VB,1
