Word,Method,Pos,Count
love,upos,VERB,8
love,upos,NOUN,3
love,xpos,VBP,4
love,xpos,NN,3
love,xpos,VB,4
exciting,upos,ADJ,1
exciting,xpos,JJ,1
and,upos,CCONJ,1
and,xpos,CC,1
new,upos,ADJ,3
new,xpos,JJ,3
come,upos,VERB,1
come,xpos,VB,1
aboard,upos,ADV,1
aboard,xpos,RB,1
be,upos,AUX,11
be,xpos,VBD,1
be,xpos,VB,2
be,xpos,VBZ,8
expect,upos,VERB,1
expect,xpos,VBG,1
you,upos,PRON,4
you,xpos,PRP,2
you,xpos,PRP$,2
life,upos,NOUN,1
life,xpos,NNS,1
sweetest,upos,ADJ,1
sweetest,xpos,JJS,1
reward,upos,NOUN,1
reward,xpos,NN,1
let,upos,VERB,1
let,xpos,VB,1
it,upos,PRON,10
it,xpos,PRP,10
flow,upos,VERB,1
flow,xpos,VB,1
float,upos,VERB,1
float,xpos,VBZ,1
back,upos,ADV,1
back,xpos,RB,1
to,upos,ADP,1
to,xpos,IN,1
Boat,upos,PROPN,6
Boat,xpos,NNP,6
soon,upos,ADV,2
soon,xpos,RB,2
will,upos,AUX,4
will,xpos,MD,4
make,upos,VERB,2
make,xpos,VBG,2
another,upos,DET,2
another,xpos,DT,2
run,upos,NOUN,2
run,xpos,NN,2
the,upos,DET,4
the,xpos,DT,4
Love,upos,PROPN,4
Love,xpos,NNP,4
promise,upos,VERB,2
promise,xpos,VBZ,2
something,upos,PRON,2
something,xpos,NN,2
for,upos,ADP,4
for,xpos,IN,4
everyone,upos,PRON,2
everyone,xpos,NN,2
set,upos,VERB,2
set,xpos,VB,2
a,upos,DET,8
a,xpos,DT,8
course,upos,NOUN,2
course,xpos,NN,2
adventure,upos,NOUN,2
adventure,xpos,NN,2
mind,upos,NOUN,2
mind,xpos,NN,2
on,upos,ADP,4
on,xpos,IN,4
romance,upos,NOUN,2
romance,xpos,NN,2
not,upos,PART,2
not,xpos,RB,2
hurt,upos,VERB,2
hurt,xpos,VB,2
anymore,upos,ADV,2
anymore,xpos,RB,2
open,upos,ADJ,2
open,xpos,JJ,2
smile,upos,NOUN,2
smile,xpos,NN,2
friendly,upos,ADJ,2
friendly,xpos,JJ,2
shore,upos,NOUN,2
shore,xpos,NN,2
yes,upos,INTJ,1
yes,xpos,UH,1
