Word,Method,Pos,Count
you,upos,PRON,28
you,xpos,PRP,27
you,xpos,PRP$,1
know,upos,VERB,5
know,xpos,VBP,2
know,xpos,VBD,3
I,upos,PRON,31
I,xpos,PRP,31
can,upos,AUX,16
can,xpos,MD,16
not,upos,PART,16
not,xpos,RB,16
smile,upos,VERB,11
smile,xpos,VB,11
without,upos,ADP,10
without,xpos,IN,10
laugh,upos,VERB,4
laugh,xpos,VB,4
and,upos,CCONJ,7
and,xpos,CC,7
sing,upos,VERB,4
sing,xpos,VB,4
be,upos,AUX,15
be,xpos,VBP,14
be,xpos,VBD,1
find,upos,VERB,6
find,xpos,VBG,5
find,xpos,VB,1
it,upos,PRON,6
it,xpos,PRP,6
hard,upos,ADV,5
hard,xpos,RB,5
to,upos,PART,5
to,xpos,TO,5
do,upos,VERB,4
do,xpos,VB,4
anything,upos,PRON,4
anything,xpos,NN,4
see,upos,VERB,4
see,xpos,VBP,4
feel,upos,VERB,6
feel,xpos,VBP,6
sad,upos,ADJ,6
sad,xpos,JJ,6
when,upos,ADV,6
when,xpos,WRB,6
glad,upos,ADJ,6
glad,xpos,JJ,6
if,upos,SCONJ,3
if,xpos,IN,3
only,upos,ADV,3
only,xpos,RB,3
what,upos,PRON,3
what,xpos,WP,3
go,upos,VERB,3
go,xpos,VBG,3
through,upos,ADP,3
through,xpos,IN,3
just,upos,ADV,4
just,xpos,RB,4
come,upos,VERB,1
come,xpos,VBD,1
along,upos,ADV,1
along,xpos,RB,1
like,upos,ADP,1
like,xpos,IN,1
a,upos,DET,2
a,xpos,DT,2
song,upos,NOUN,1
song,xpos,NN,1
brighten,upos,VERB,1
brighten,xpos,VBD,1
my,upos,PRON,1
my,xpos,PRP$,1
day,upos,NOUN,1
day,xpos,NN,1
whod,upos,PRON,1
whod,xpos,PRP,1
have,upos,AUX,1
have,xpos,VBP,1
believe,upos,VERB,1
believe,xpos,VBN,1
that,upos,SCONJ,1
that,xpos,IN,1
part,upos,NOUN,1
part,xpos,NN,1
of,upos,ADP,1
of,xpos,IN,1
dream,upos,NOUN,1
dream,xpos,NN,1
now,upos,ADV,3
now,xpos,RB,3
all,upos,DET,1
all,xpos,DT,1
seem,upos,VERB,1
seem,xpos,VBZ,1
lightyear,upos,NOUN,1
lightyear,xpos,NNS,1
away,upos,ADV,1
away,xpos,RB,1
some,upos,DET,1
some,xpos,DT,1
people,upos,NOUN,1
people,xpos,NNS,1
say,upos,VERB,1
say,xpos,VBP,1
happiness,upos,NOUN,1
happiness,xpos,NN,1
take,upos,VERB,1
take,xpos,VBZ,1
so,upos,ADV,1
so,xpos,RB,1
very,upos,ADV,1
very,xpos,RB,1
long,upos,ADV,1
long,xpos,RB,1
well,upos,INTJ,1
well,xpos,UH,1
leave,upos,VERB,1
leave,xpos,VBG,1
love,upos,NOUN,1
love,xpos,NN,1
behind,upos,ADP,1
behind,xpos,IN,1
cant,upos,AUX,3
cant,xpos,MD,3
