Word,Method,Pos,Count
it,upos,PRON,13
it,xpos,PRP,13
never,upos,ADV,2
never,xpos,RB,2
really,upos,ADV,4
really,xpos,RB,4
matter,upos,VERB,6
matter,xpos,VBD,6
too,upos,ADV,6
too,xpos,RB,6
much,upos,ADJ,2
much,upos,ADV,1
much,xpos,JJ,2
much,xpos,RB,1
to,upos,ADP,5
to,upos,PART,6
to,xpos,IN,5
to,xpos,TO,6
I,upos,PRON,51
I,xpos,PRP,51
that,upos,SCONJ,3
that,upos,PRON,6
that,xpos,IN,3
that,xpos,WDT,4
that,xpos,DT,2
you,upos,PRON,50
you,xpos,PRP,49
you,xpos,PRP$,1
be,upos,AUX,22
be,upos,VERB,2
be,xpos,VBD,6
be,xpos,VBZ,10
be,xpos,VB,5
be,xpos,VBP,3
just,upos,ADV,4
just,xpos,RB,4
damned,upos,ADJ,2
damned,xpos,JJ,2
old,upos,ADJ,2
old,xpos,JJ,2
for,upos,ADP,3
for,xpos,IN,3
all,upos,DET,9
all,xpos,DT,8
all,xpos,PDT,1
my,upos,PRON,2
my,xpos,PRP$,2
girlfriend,upos,NOUN,2
girlfriend,xpos,NN,2
and,upos,CCONJ,5
and,upos,PUNCT,12
and,upos,PROPN,1
and,xpos,CC,5
and,xpos,.,12
and,xpos,NNP,1
baby,upos,NOUN,8
baby,upos,VERB,1
baby,xpos,NN,8
baby,xpos,VB,1
let,upos,VERB,22
let,xpos,VB,22
love,upos,VERB,34
love,xpos,VB,23
love,xpos,VBD,1
love,xpos,VBP,10
dow,upos,PROPN,12
dow,xpos,NNP,12
even,upos,ADV,3
even,xpos,RB,3
if,upos,SCONJ,3
if,xpos,IN,3
take,upos,VERB,6
take,xpos,VBZ,3
take,xpos,VB,3
night,upos,NOUN,6
night,xpos,NN,6
know,upos,VERB,14
know,xpos,VBP,14
go,upos,VERB,4
go,xpos,VBG,4
so,upos,ADV,6
so,xpos,RB,6
right,upos,ADJ,5
right,xpos,JJ,5
remember,upos,VERB,1
remember,xpos,VB,1
when,upos,ADV,2
when,xpos,WRB,2
drive,upos,VERB,1
drive,xpos,VBD,1
home,upos,ADV,1
home,xpos,RB,1
from,upos,ADP,2
from,xpos,IN,2
work,upos,NOUN,1
work,xpos,NN,1
the,upos,DET,5
the,xpos,DT,5
way,upos,NOUN,1
way,xpos,NN,1
kiss,upos,VERB,1
kiss,xpos,VBD,1
bye,upos,NOUN,1
bye,xpos,NN,1
friend,upos,NOUN,1
friend,xpos,NNS,1
think,upos,VERB,1
think,xpos,VBP,1
young,upos,ADJ,1
young,xpos,JJ,1
tell,upos,VERB,1
tell,xpos,VBP,1
they,upos,PRON,2
they,xpos,PRP,1
they,xpos,PRP$,1
can,upos,AUX,4
can,xpos,MD,4
do,upos,VERB,2
do,xpos,VB,2
what,upos,DET,1
what,xpos,WDT,1
guy,upos,NOUN,1
guy,xpos,NNS,1
age,upos,NOUN,1
age,xpos,NN,1
oh,upos,INTJ,7
oh,xpos,UH,7
get,upos,VERB,2
get,xpos,VBN,2
down,upos,ADP,13
down,upos,ADV,1
down,xpos,RP,13
down,xpos,RB,1
ooh,upos,INTJ,3
ooh,xpos,UH,3
could,upos,AUX,4
could,xpos,MD,4
no,upos,INTJ,4
no,xpos,UH,4
daw,upos,NOUN,1
daw,xpos,NN,1
house,upos,NOUN,1
house,xpos,NN,1
car,upos,NOUN,1
car,xpos,NN,1
like,upos,SCONJ,1
like,xpos,IN,1
whoa,upos,INTJ,1
whoa,xpos,UH,1
woah,upos,INTJ,6
woah,xpos,UH,6
yeah,upos,INTJ,1
yeah,xpos,UH,1
whole,upos,ADJ,2
whole,xpos,JJ,2
through,upos,ADV,2
through,xpos,RB,2
sweet,upos,ADJ,1
sweet,xpos,JJ,1
wont,upos,AUX,1
wont,xpos,MD,1
not,upos,PART,1
not,xpos,RB,1
this,upos,PRON,1
this,xpos,DT,1
longer,upos,ADV,1
longer,xpos,RBR,1
