Word,Method,Pos,Count
maybe,upos,ADV,2
maybe,xpos,RB,2
we,upos,PRON,10
we,xpos,PRP,8
we,xpos,PRP$,2
oughta,upos,AUX,4
oughta,xpos,MD,4
think,upos,VERB,12
think,xpos,VB,12
twice,upos,ADV,12
twice,xpos,RB,12
before,upos,SCONJ,4
before,xpos,IN,4
start,upos,VERB,4
start,xpos,VBP,4
something,upos,PRON,4
something,xpos,NN,4
nice,upos,ADJ,4
nice,xpos,JJ,4
no,upos,DET,2
no,xpos,DT,2
need,upos,NOUN,2
need,xpos,NN,2
to,upos,PART,2
to,xpos,TO,2
sacrifice,upos,VERB,2
sacrifice,xpos,VB,2
the,upos,DET,2
the,xpos,DT,2
spice,upos,NOUN,2
spice,xpos,NN,2
in,upos,ADP,2
in,xpos,IN,2
life,upos,NOUN,2
life,xpos,NNS,2
ooh,upos,INTJ,2
ooh,xpos,UH,2
you,upos,PRON,32
you,xpos,PRP$,2
you,xpos,PRP,30
love,upos,NOUN,2
love,upos,VERB,14
love,xpos,NNS,2
love,xpos,VBP,14
like,upos,ADP,2
like,xpos,IN,2
fire,upos,NOUN,2
fire,xpos,NN,2
and,upos,CCONJ,2
and,xpos,CC,2
ice,upos,NOUN,2
ice,xpos,NN,2
pretty,upos,ADV,1
pretty,xpos,RB,1
baby,upos,NOUN,5
baby,xpos,NN,5
that,upos,PRON,2
that,xpos,DT,2
be,upos,AUX,8
be,xpos,VBZ,8
why,upos,ADV,2
why,xpos,WRB,2
I,upos,PRON,24
I,xpos,PRP,24
really,upos,ADV,12
really,xpos,RB,12
know,upos,VERB,16
know,xpos,VBP,16
do,upos,VERB,5
do,upos,AUX,3
do,xpos,VBP,8
it,upos,PRON,6
it,xpos,PRP,6
true,upos,ADJ,6
true,xpos,JJ,6
Said,upos,VERB,1
Said,xpos,VBD,1
say,upos,VERB,2
say,xpos,VBD,2
