Word,Method,Pos,Count
oh,upos,INTJ,2
oh,xpos,UH,2
I,upos,PRON,22
I,xpos,PRP,22
be,upos,AUX,17
be,xpos,VBP,11
be,xpos,VBD,2
be,xpos,VB,4
happy,upos,ADJ,20
happy,xpos,JJ,20
in,upos,ADP,10
in,xpos,IN,10
Jesus,upos,PROPN,4
Jesus,xpos,NNP,4
have,upos,AUX,1
have,upos,VERB,1
have,xpos,VBZ,1
have,xpos,VB,1
the,upos,DET,7
the,xpos,DT,7
head,upos,NOUN,1
head,xpos,NN,1
of,upos,ADP,3
of,xpos,IN,3
my,upos,PRON,3
my,xpos,PRP$,3
life,upos,NOUN,1
life,xpos,NN,1
from,upos,ADP,1
from,xpos,IN,1
a,upos,DET,1
a,xpos,DT,1
world,upos,NOUN,1
world,xpos,NN,1
sin,upos,NOUN,2
sin,xpos,NN,2
he,upos,PRON,3
he,xpos,PRP,2
he,xpos,PRP$,1
bring,upos,VERB,1
bring,xpos,VBD,1
out,upos,ADP,1
out,xpos,RP,1
walk,upos,VERB,1
walk,xpos,VBG,1
darkness,upos,NOUN,1
darkness,xpos,NN,1
shackle,upos,VERB,1
shackle,xpos,VBN,1
but,upos,CCONJ,3
but,xpos,CC,3
save,upos,VERB,1
save,xpos,VBD,1
and,upos,CCONJ,2
and,xpos,CC,2
now,upos,ADV,1
now,xpos,RB,1
live,upos,VERB,1
live,xpos,VBP,1
for,upos,ADP,2
for,xpos,IN,2
Lord,upos,NOUN,3
Lord,xpos,NN,3
you,upos,PRON,3
you,xpos,PRP,3
do,upos,AUX,2
do,xpos,VBP,2
not,upos,PART,3
not,xpos,RB,3
know,upos,VERB,2
know,xpos,VB,2
how,upos,ADV,1
how,xpos,WRB,1
on,upos,ADP,2
on,xpos,IN,2
Christ,upos,PROPN,1
Christ,xpos,NNP,1
solid,upos,ADJ,1
solid,xpos,JJ,1
rock,upos,NOUN,1
rock,xpos,NN,1
stand,upos,VERB,1
stand,xpos,VBP,1
what,upos,PRON,1
what,xpos,WP,1
it,upos,PRON,2
it,xpos,PRP,2
mean,upos,VERB,1
mean,xpos,VBZ,1
to,upos,ADP,1
to,upos,PART,2
to,xpos,IN,1
to,xpos,TO,2
Holy,upos,PROPN,1
Holy,xpos,NNP,1
ghost,upos,NOUN,1
ghost,xpos,NN,1
abide,upos,VERB,1
abide,xpos,VBG,1
step,upos,VERB,1
step,xpos,VBD,1
water,upos,NOUN,2
water,xpos,NN,2
cold,upos,ADJ,1
cold,xpos,JJ,1
chill,upos,VERB,1
chill,xpos,VBD,1
body,upos,NOUN,1
body,xpos,NN,1
soul,upos,NOUN,1
soul,xpos,NN,1
so,upos,ADV,1
so,xpos,RB,1
one,upos,NUM,1
one,xpos,CD,1
these,upos,DET,1
these,xpos,DT,1
old,upos,ADJ,1
old,xpos,JJ,1
morning,upos,NOUN,1
morning,xpos,NNS,1
wont,upos,AUX,1
wont,xpos,MD,1
very,upos,ADV,1
very,xpos,RB,1
long,upos,ADJ,1
long,xpos,JJ,1
go,upos,VERB,2
go,xpos,VBP,1
go,xpos,VBN,1
look,upos,VERB,1
look,xpos,VB,1
will,upos,AUX,3
will,xpos,MD,3
home,upos,ADV,1
home,xpos,RB,1
yes,upos,INTJ,1
yes,xpos,UH,1
Ill,upos,ADJ,1
Ill,xpos,JJ,1
